"","ID","Min","Q1","Median","Mean","Q3","Max","Grp"
"1",1000,43.5262817129768,54.3410622624975,55.8727779082361,55.28175373367,57.0180812175861,65.0928050904657,"ALGORAND"
"2",2000,28.073798042094,40.2184052453665,42.881473805734,42.2411908294368,45.2953062025655,56.344437150344,"ALGORAND"
"3",3000,19.3007805853294,37.6951152174397,38.61945415225,38.7094339214349,40.0324755452361,86.362908167297,"ALGORAND"
"4",4000,17.4315165829068,33.7281926575951,35.0282425714205,34.6209612675452,36.0941625957565,84.8125274209503,"ALGORAND"
"5",5000,12.9018185926121,31.0643909918952,32.5483962103268,31.7854478172836,33.511428984914,83.4322840221836,"ALGORAND"
"6",6000,6.02289209738255,29.0626808789317,30.4035009752987,30.1063028271247,31.2536547242504,83.1850352118095,"ALGORAND"
"7",7000,7.79098167381918,27.6374276270807,28.5028149665089,28.7388871420121,29.916369835247,82.3477949236866,"ALGORAND"
"8",8000,4.10244014575724,26.7179658741053,28.1496257324286,27.6805540545595,29.0123251467155,81.7599248986034,"ALGORAND"
"9",9000,2.86023992493358,25.7350373822651,27.2128007273002,26.7218221948121,28.2769268025197,80.7806512891542,"ALGORAND"
"10",10000,6.46119965610911,25.025357882337,26.3895190119595,26.2218033706809,27.4024671181036,80.7297256779703,"ALGORAND"
