"","BlockSize","CC","ExpType","MeanBlockCount","ExtraCostPercent"
"1",500000,2,"Bitcoin++",2.25774,12.887
"2",500000,2,"BitcoinReducedDiff",1.28303365913867,28.3033659138673
"3",500000,4,"Bitcoin++",4.81518,20.3795
"4",500000,4,"BitcoinReducedDiff",1.26637088434466,26.6370884344664
"5",500000,8,"Bitcoin++",9.05094,13.13675
"6",500000,8,"BitcoinReducedDiff",1.29134350763072,29.1343507630723
"7",500000,16,"Bitcoin++",18.2617217217217,14.1357607607608
"8",500000,16,"BitcoinReducedDiff",1.5410239306262,54.1023930626199
"9",500000,32,"Bitcoin++",35.20476,10.014875
"10",500000,32,"BitcoinReducedDiff",1.58274893056378,58.2748930563778
"11",500000,64,"Bitcoin++",71.92798,12.38746875
"12",500000,64,"BitcoinReducedDiff",1.90724236537804,90.7242365378042
"13",500000,96,"Bitcoin++",108.870990990991,13.4072822822823
"14",500000,96,"BitcoinReducedDiff",2.18191366978442,118.191366978442
"15",1000000,2,"Bitcoin++",2.39761523046092,19.8807615230461
"16",1000000,2,"BitcoinReducedDiff",1.29134836708143,29.1348367081429
"17",1000000,4,"Bitcoin++",4.72214214214214,18.0535535535536
"18",1000000,4,"BitcoinReducedDiff",1.28303601958184,28.3036019581843
"19",1000000,8,"Bitcoin++",9.13085085085085,14.1356356356356
"20",1000000,8,"BitcoinReducedDiff",1.46612854808045,46.6128548080451
"21",1000000,16,"Bitcoin++",18.4415015015015,15.2593843843844
"22",1000000,16,"BitcoinReducedDiff",1.54945714714564,54.9457147145645
"23",1000000,32,"Bitcoin++",37.942,18.56875
"24",1000000,32,"BitcoinReducedDiff",2.0072858072808,100.72858072808
