"","ExpType","BlockSize","CC","Min","Q1","Median","Mean","Q3","Max"
"1","Bitcoin++",500000,2,31.419,364.10675,586.5985,774.16019832,994.729,3237.301
"2","Bitcoin++",500000,4,138.12,346.9185,514.8145,666.72453638,920.047,1755.143
"3","Bitcoin++",500000,8,222.755,494.048,644.6365,646.40723158,786.617,1449.088
"4","Bitcoin++",500000,16,319.01,554.1765,686.73,701.442064804805,782.8965,1295.874
"5","Bitcoin++",500000,32,414.516,528.584,674.172,649.03594536,724.638,993.907
"6","Bitcoin++",500000,64,509.626,615.2705,666.825,684.01139506,754.85725,902.261
"7","Bitcoin++",500000,96,498.438,637.849,669.4055,678.155122462462,729.7915,872.567
"8","Bitcoin++",1000000,2,36.946,421.457,751.5805,829.457684468938,1119.01325,2570.613
"9","Bitcoin++",1000000,4,129.507,464.225,631.695,658.219493913914,809.17775,1851.471
"10","Bitcoin++",1000000,8,209.188,518.98575,688.966,723.46003971972,902.06075,1269.948
"11","Bitcoin++",1000000,16,284.756,529.8335,721.1385,708.732702582583,881.12875,1235.727
"12","Bitcoin++",1000000,32,443.05,581.18,666.1575,676.88842472,763.50375,1058.292
"13","BitcoinReducedDiff",500000,2,9.931,79.975,199.6195,318.964631633333,462.374,1706.008
"14","BitcoinReducedDiff",500000,4,0.36,68.7785,135.1845,196.795950958333,246.76575,842.883
"15","BitcoinReducedDiff",500000,8,0.199,35.65275,79.1935,108.388474433333,143.18,699.914
"16","BitcoinReducedDiff",500000,16,1.033,16.4455,34.806,50.2190728083333,65.70675,258.673
"17","BitcoinReducedDiff",500000,32,0.798,13.4695,26.175,30.5420357083333,40.842,124.727
"18","BitcoinReducedDiff",500000,64,0.281,9.171,13.329,17.5500265333333,23.534,61.683
"19","BitcoinReducedDiff",500000,96,0.196,8.452,11.0185,13.7898087666667,15.11225,59.042
"20","BitcoinReducedDiff",1000000,2,6.916,121.34525,284.6655,393.187789525,564.96525,1911.851
"21","BitcoinReducedDiff",1000000,4,6.729,69.26125,167.923,222.441849025,325.845,1047.277
"22","BitcoinReducedDiff",1000000,8,0.67,41.53075,83.149,96.176582925,129.965,346.173
"23","BitcoinReducedDiff",1000000,16,0.591,24.722,48.638,63.2251468416667,91.241,252.568
"24","BitcoinReducedDiff",1000000,32,0.439,19.56175,29.7275,34.78626498999,42.702,141.233
